sample,model,term,estimate,se,nobs
all,1,female,-0.21812385825299085,0.01943152039897691,263245
all,1,femaleXbratio_563,-0.04895754000913794,0.026442549579919407,263245
all,1,bratio_563,0.11294001918347808,0.016982072949634625,263245
all,2,female,-0.25361839459516117,0.012942936852879111,263245
all,2,femaleXbratio_563,-0.04574528293488773,0.018003479794132665,263245
all,2,bratio_563,0.06442219861548482,0.013633685739476719,263245
all,3,female,-0.24437160742453778,0.01287887492714539,263179
all,3,femaleXbratio_563,-0.04356673010668736,0.018998434870609402,263179
all,3,bratio_563,0.06307969132157197,0.013774270954730501,263179
all,4,female,-0.21238573544525782,0.011820041120875506,256672
all,4,femaleXbratio_563,-0.027883845434172785,0.015455142393515812,256672
all,4,bratio_563,0.06917319237044378,0.013190537881422285,256672
single_no_children,1,female,-0.13471759206541742,0.015749979196686477,73536
single_no_children,1,femaleXbratio_563,-0.02155973961757606,0.02074653825707701,73536
single_no_children,1,bratio_563,0.1019116725334596,0.014643884939424286,73536
single_no_children,2,female,-0.16862330567931677,0.011682801592103406,73536
single_no_children,2,femaleXbratio_563,-0.02538106284194164,0.016240031315430767,73536
single_no_children,2,bratio_563,0.06229856287268636,0.0131976402113502,73536
single_no_children,3,female,-0.16515309119955776,0.011774674493085797,73516
single_no_children,3,femaleXbratio_563,-0.02422653299055368,0.016785219908040567,73516
single_no_children,3,bratio_563,0.06126683804049763,0.013082693049571164,73516
single_no_children,4,female,-0.13175228998253544,0.011345166763014964,71577
single_no_children,4,femaleXbratio_563,-0.009847992918953965,0.014157737884420114,71577
single_no_children,4,bratio_563,0.06202906091907086,0.01052173503518929,71577
married_with_children,1,female,-0.26252305911899565,0.02291913475556957,110230
married_with_children,1,femaleXbratio_563,-0.06261025953050642,0.032675760300666386,110230
married_with_children,1,bratio_563,0.10902840180854535,0.0188627920971229,110230
married_with_children,2,female,-0.29778142821880027,0.01585339945003517,110230
married_with_children,2,femaleXbratio_563,-0.05954273962727485,0.022072438303574526,110230
married_with_children,2,bratio_563,0.06522886065131371,0.014213002498581068,110230
married_with_children,3,female,-0.28615211122135437,0.016161734840320095,110206
married_with_children,3,femaleXbratio_563,-0.05821333548386082,0.02364123572621944,110206
married_with_children,3,bratio_563,0.0649104476424727,0.015115116245052617,110206
married_with_children,4,female,-0.25543266861277286,0.013677094524855053,107626
married_with_children,4,femaleXbratio_563,-0.04001237572553423,0.019176074355347274,107626
married_with_children,4,bratio_563,0.07224784897600871,0.0149659558325534,107626
